,origin,destination,route,lat_origin,lon_origin,lat_destination,lon_destination
0,AMS,BRU,8867897.938141465,52.308601,4.76389,50.90140152,4.48443985
1,KTW,AMS,8301364.729564683,50.4743,19.08,52.308601,4.76389
2,AMS,ZRH,14428411.763114506,52.308601,4.76389,47.464699,8.54917
3,AMS,MUC,15182258.916397156,52.308601,4.76389,48.353802,11.7861
4,BRU,AMS,8867897.938141465,50.90140152,4.48443985,52.308601,4.76389
5,AMS,BRU,8867897.938141465,52.308601,4.76389,50.90140152,4.48443985
6,ZRH,AMS,14428411.763114506,47.464699,8.54917,52.308601,4.76389
7,MUC,AMS,15182258.916397156,48.353802,11.7861,52.308601,4.76389
8,AMS,FLR,14061175.992941689,52.308601,4.76389,43.810001,11.2051
9,AMS,SVG,3559496.27161299,52.308601,4.76389,58.87670135,5.63778019
10,BRU,AMS,8867897.938141465,50.90140152,4.48443985,52.308601,4.76389
11,SVG,AMS,3559496.27161299,58.87670135,5.63778019,52.308601,4.76389
12,AMS,DUB,9970752.056852443,52.308601,4.76389,53.421299,-6.27007
13,AMS,BGO,11078860.199314414,52.308601,4.76389,60.29339981,5.218140125
14,FLR,AMS,14061175.992941689,43.810001,11.2051,52.308601,4.76389
15,AMS,BOD,6976949.436528483,52.308601,4.76389,44.8283,-0.715556
16,BGO,AMS,11078860.199314414,60.29339981,5.218140125,52.308601,4.76389
17,AMS,ALL,6641475.376188138,52.308601,4.76389,44.050598,8.12743
18,DUB,AMS,9970752.056852443,53.421299,-6.27007,52.308601,4.76389
19,BOD,AMS,6976949.436528483,44.8283,-0.715556,52.308601,4.76389
20,AMS,TXL,6809920.228136903,52.308601,4.76389,52.5597,13.2877
21,AMS,OSL,10204272.61396393,52.308601,4.76389,60.19390106,11.10039997
22,ALL,AMS,6641475.376188138,44.050598,8.12743,52.308601,4.76389
23,AMS,LCY,3619285.5349223698,52.308601,4.76389,51.505299,0.055278
24,AMS,LHR,4584996.159956315,52.308601,4.76389,51.4706,-0.461941
25,TXL,AMS,6809920.228136903,52.5597,13.2877,52.308601,4.76389
26,LCY,AMS,3619285.5349223698,51.505299,0.055278,52.308601,4.76389
27,OSL,AMS,10204272.61396393,60.19390106,11.10039997,52.308601,4.76389
28,AMS,CPH,14973122.679513024,52.308601,4.76389,55.61790085,12.65600014
29,LHR,AMS,4584996.159956315,51.4706,-0.461941,52.308601,4.76389
30,AMS,BSL,15679246.458231293,52.308601,4.76389,47.59,7.529167
31,AMS,GVA,4562489.007781655,52.308601,4.76389,46.23809814,6.108950138
32,CPH,AMS,14973122.679513024,55.61790085,12.65600014,52.308601,4.76389
33,AMS,SKE,6906969.683469559,52.308601,4.76389,59.18500137,9.566940308
34,NUE,AMS,17887574.20232939,49.498699,11.078056,52.308601,4.76389
35,LUX,AMS,13945883.655280765,49.6233333,6.2044444,52.308601,4.76389
36,BSL,AMS,15679246.458231293,47.59,7.529167,52.308601,4.76389
37,AMS,HAM,9873199.322434772,52.308601,4.76389,53.63040161,9.988229752
38,AMS,GOT,4765573.483738691,52.308601,4.76389,57.66279984,12.27980042
39,AMS,SVG,3559496.27161299,52.308601,4.76389,58.87670135,5.63778019
40,AMS,FRA,9084381.624375805,52.308601,4.76389,50.033333,8.570556
41,AMS,NUE,17887574.20232939,52.308601,4.76389,49.498699,11.078056
42,AMS,AAL,7933191.974076261,52.308601,4.76389,57.09275891,9.849243164
43,HAM,AMS,9873199.322434772,53.63040161,9.988229752,52.308601,4.76389
44,AMS,BLL,13662012.276494006,52.308601,4.76389,55.74029922,9.151780128
45,AMS,BRE,9731196.297155976,52.308601,4.76389,53.04750061,8.786669731
46,AMS,LUX,13945883.655280765,52.308601,4.76389,49.6233333,6.2044444
47,AMS,HUY,9827132.813872268,52.308601,4.76389,53.57440186,-0.350832999
48,AMS,KRK,8853377.945302347,52.308601,4.76389,50.077702,19.7848
49,AMS,STR,17002778.360410918,52.308601,4.76389,48.68989944,9.221960068
50,AMS,MME,14017759.103637049,52.308601,4.76389,54.50920105,-1.429409981
51,FRA,AMS,9084381.624375805,50.033333,8.570556,52.308601,4.76389
52,GOT,AMS,4765573.483738691,57.66279984,12.27980042,52.308601,4.76389
53,AAL,AMS,7933191.974076261,57.09275891,9.849243164,52.308601,4.76389
54,BLL,AMS,13662012.276494006,55.74029922,9.151780128,52.308601,4.76389
55,SVG,AMS,3559496.27161299,58.87670135,5.63778019,52.308601,4.76389
56,BRE,AMS,9731196.297155976,53.04750061,8.786669731,52.308601,4.76389
57,NUE,AMS,17887574.20232939,49.498699,11.078056,52.308601,4.76389
58,AMS,HAM,9873199.322434772,52.308601,4.76389,53.63040161,9.988229752
59,LUX,AMS,13945883.655280765,49.6233333,6.2044444,52.308601,4.76389
60,AMS,BLQ,9415060.109804504,52.308601,4.76389,44.5354,11.2887
61,HUY,AMS,9827132.813872268,53.57440186,-0.350832999,52.308601,4.76389
62,AMS,NTE,7193972.219447077,52.308601,4.76389,47.15319824,-1.610730052
63,STR,AMS,17002778.360410918,48.68989944,9.221960068,52.308601,4.76389
64,MME,AMS,14017759.103637049,54.50920105,-1.429409981,52.308601,4.76389
65,KRK,AMS,8853377.945302347,50.077702,19.7848,52.308601,4.76389
66,HAM,AMS,9873199.322434772,53.63040161,9.988229752,52.308601,4.76389
67,AMS,GOA,5755653.832677184,52.308601,4.76389,44.4133,8.8375
68,AMS,WRO,7474994.732689926,52.308601,4.76389,51.10269928,16.88579941
69,AMS,VXO,5125245.572007043,52.308601,4.76389,56.92910004,14.72799969
70,AMS,SVG,3559496.27161299,52.308601,4.76389,58.87670135,5.63778019
71,AMS,ZRH,14428411.763114506,52.308601,4.76389,47.464699,8.54917
72,AMS,GVA,4562489.007781655,52.308601,4.76389,46.23809814,6.108950138
73,AMS,GOT,4765573.483738691,52.308601,4.76389,57.66279984,12.27980042
74,AMS,STR,17002778.360410918,52.308601,4.76389,48.68989944,9.221960068
75,AMS,BSL,15679246.458231293,52.308601,4.76389,47.59,7.529167
76,AMS,HAM,9873199.322434772,52.308601,4.76389,53.63040161,9.988229752
77,NTE,AMS,7193972.219447077,47.15319824,-1.610730052,52.308601,4.76389
78,BLQ,AMS,9415060.109804504,44.5354,11.2887,52.308601,4.76389
79,AMS,BRU,8867897.938141465,52.308601,4.76389,50.90140152,4.48443985
80,SVG,AMS,3559496.27161299,58.87670135,5.63778019,52.308601,4.76389
81,ZRH,AMS,14428411.763114506,47.464699,8.54917,52.308601,4.76389
82,VXO,AMS,5125245.572007043,56.92910004,14.72799969,52.308601,4.76389
83,AMS,FDE,17361786.885166414,52.308601,4.76389,61.39110184,5.756939888
84,STR,AMS,17002778.360410918,48.68989944,9.221960068,52.308601,4.76389
85,GOT,AMS,4765573.483738691,57.66279984,12.27980042,52.308601,4.76389
86,GOA,AMS,5755653.832677184,44.4133,8.8375,52.308601,4.76389
87,WRO,AMS,7474994.732689926,51.10269928,16.88579941,52.308601,4.76389
88,AMS,TRD,9005147.522304362,52.308601,4.76389,63.4578018,10.9239998
89,AMS,TRF,4968947.650711696,52.308601,4.76389,59.18669891,10.25860024
90,BSL,AMS,15679246.458231293,47.59,7.529167,52.308601,4.76389
91,GVA,AMS,4562489.007781655,46.23809814,6.108950138,52.308601,4.76389
92,BRS,AMS,4807798.438221231,51.382702,-2.71909,52.308601,4.76389
93,BRU,AMS,8867897.938141465,50.90140152,4.48443985,52.308601,4.76389
94,HAM,AMS,9873199.322434772,53.63040161,9.988229752,52.308601,4.76389
95,AMS,NUE,17887574.20232939,52.308601,4.76389,49.498699,11.078056
96,AMS,GOT,4765573.483738691,52.308601,4.76389,57.66279984,12.27980042
97,AMS,FRA,9084381.624375805,52.308601,4.76389,50.033333,8.570556
98,AMS,GDN,14312663.423867345,52.308601,4.76389,54.37760162,18.46619987
99,AMS,CWL,3479408.5765897287,52.308601,4.76389,51.39670181,-3.343329906
100,AMS,HAJ,4330992.1782583855,52.308601,4.76389,52.46110153,9.685079575
101,TRF,AMS,4968947.650711696,59.18669891,10.25860024,52.308601,4.76389
102,TRD,AMS,9005147.522304362,63.4578018,10.9239998,52.308601,4.76389
103,AMS,HUY,9827132.813872268,52.308601,4.76389,53.57440186,-0.350832999
104,AMS,DUS,3412926.7680355553,52.308601,4.76389,51.289501,6.76678
105,FDE,AMS,17361786.885166414,61.39110184,5.756939888,52.308601,4.76389
106,AMS,BSL,15679246.458231293,52.308601,4.76389,47.59,7.529167
107,AMS,NWI,8224837.5099664405,52.308601,4.76389,52.67580032,1.282780051
108,AMS,NCE,9687067.164220363,52.308601,4.76389,43.65840149,7.215869904
109,AMS,ZRH,14428411.763114506,52.308601,4.76389,47.464699,8.54917
110,AMS,BRU,8867897.938141465,52.308601,4.76389,50.90140152,4.48443985
111,AMS,BRE,9731196.297155976,52.308601,4.76389,53.04750061,8.786669731
112,NUE,AMS,17887574.20232939,49.498699,11.078056,52.308601,4.76389
113,HUY,AMS,9827132.813872268,53.57440186,-0.350832999,52.308601,4.76389
114,HAJ,AMS,4330992.1782583855,52.46110153,9.685079575,52.308601,4.76389
115,DUS,AMS,3412926.7680355553,51.289501,6.76678,52.308601,4.76389
116,NWI,AMS,8224837.5099664405,52.67580032,1.282780051,52.308601,4.76389
117,CWL,AMS,3479408.5765897287,51.39670181,-3.343329906,52.308601,4.76389
118,BSL,AMS,15679246.458231293,47.59,7.529167,52.308601,4.76389
119,GOT,AMS,4765573.483738691,57.66279984,12.27980042,52.308601,4.76389
120,FRA,AMS,9084381.624375805,50.033333,8.570556,52.308601,4.76389
121,BRU,AMS,8867897.938141465,50.90140152,4.48443985,52.308601,4.76389
122,GDN,AMS,14312663.423867345,54.37760162,18.46619987,52.308601,4.76389
123,ZRH,AMS,14428411.763114506,47.464699,8.54917,52.308601,4.76389
124,AMS,BER,5881871.6403902825,52.308601,4.76389,52.351389,13.493889
125,BRE,AMS,9731196.297155976,53.04750061,8.786669731,52.308601,4.76389
126,NCE,AMS,9687067.164220363,43.65840149,7.215869904,52.308601,4.76389
127,AMS,TRN,999860.9699302181,52.308601,4.76389,45.200802,7.64963
128,AMS,HAJ,4330992.1782583855,52.308601,4.76389,52.46110153,9.685079575
129,AMS,BRE,9731196.297155976,52.308601,4.76389,53.04750061,8.786669731
130,AMS,TRD,9005147.522304362,52.308601,4.76389,63.4578018,10.9239998
131,AMS,GDN,14312663.423867345,52.308601,4.76389,54.37760162,18.46619987
132,AMS,CWL,3479408.5765897287,52.308601,4.76389,51.39670181,-3.343329906
133,BER,AMS,5881871.6403902825,52.351389,13.493889,52.308601,4.76389
134,AMS,NUE,17887574.20232939,52.308601,4.76389,49.498699,11.078056
135,AMS,NWI,8224837.5099664405,52.308601,4.76389,52.67580032,1.282780051
136,AMS,DUS,3412926.7680355553,52.308601,4.76389,51.289501,6.76678
137,AMS,MME,14017759.103637049,52.308601,4.76389,54.50920105,-1.429409981
138,AMS,LUX,13945883.655280765,52.308601,4.76389,49.6233333,6.2044444
139,AMS,HUY,9827132.813872268,52.308601,4.76389,53.57440186,-0.350832999
140,AMS,FDE,17361786.885166414,52.308601,4.76389,61.39110184,5.756939888
